ID,Login,Matricula,Tipo
19,email@gmail.com,123456,BIBLIOTECARIO
20,andre,123457,BIBLIOTECARIO
21,lucio,12345,BIBLIOTECARIO
22,teste,564,USER
23,andrezin,0,BIBLIOTECARIO
24,lucin,0,BIBLIOTECARIO
25,lolo,0,BIBLIOTECARIO
26,maconha,34998,BIBLIOTECARIO
27,andre teste,83140,BIBLIOTECARIO
28,admin2,54233,USER
29,testenovo,48412,USER
30,andrelucio,76762,USER
31,dio,63874,BIBLIOTECARIO
32,pain,90295,USER
33,novologin,52504,BIBLIOTECARIO
34,teste123,29510,BIBLIOTECARIO
35,tester,86413,BIBLIOTECARIO
36,a123,31319,BIBLIOTECARIO
37,user,38100,USER
38,poo,93532,USER
